kanji,count
埋,126
僚,126
武,126
踏,126
忍,126
臓,126
滑,125
占,125
唯,125
覧,124
熟,124
逮,124
遣,123
脳,123
乾,123
覆,122
揺,122
黄,122
綺,122
迫,121
寿,121
省,121
誠,121
濡,121
桜,121
釈,121
喉,120
勘,120
層,120
渋,120
咲,120
喧,119
射,119
旧,119
豆,119
著,118
飾,118
輩,118
繰,118
井,118
俳,116
癖,116
挨,115
拶,115
訓,115
噛,115
磨,115
羊,115
嘩,114
衝,114
均,113
抑,113
玄,113
堂,113
距,112
濃,112
系,112
犠,112
冒,112
摘,112
胃,112
針,111
霧,111
双,111
署,110
潔,110
菓,109
宗,109
勧,109
匂,109
牲,109
崩,108
敢,108
伺,108
募,107
漏,107
璧,107
監,106
雷,106
控,106
令,106
渉,106
誉,105
至,105
湯,105
銭,104
略,104
麦,104
尾,104
闇,104
肌,104
仏,104
操,104
麻,103
億,103
巨,103
浜,103
徹,102
既,102
択,102
諸,102
喋,102
充,101
没,101
蔑,100
清,100
紳,100
憩,100
遭,99
闘,99
漫,99
荒,99
慎,99
寂,99
削,98
藤,98
灯,98
焦,98
孤,97
脚,97
叱,96
較,96
抵,96
雄,96
封,96
幽,96
純,96
河,96
汗,96
掘,96
威,95
珍,95
拾,95
庁,95
翌,95
房,95
献,95
殴,94
添,94
汽,94
裂,93
炎,93
柔,93
索,93
脅,92
審,92
剣,92
悟,92
叩,92
吐,92
沿,91
嘆,90
聖,90
諦,90
谷,90
舌,89
貿,89
衛,89
獲,88
熊,88
湿,88
剤,88
憎,87
核,87
仰,86
繁,86
酷,85
炭,85
糸,85
岩,85
蒸,85
範,84
硬,84
躍,84
徳,84
徴,84
旗,84
鞄,84
秀,84
縮,83
項,83
梅,83
敷,83
孫,83
紛,82
豚,82
宣,82
偽,81
鶏,81
飢,80
即,80
液,80
侵,80
涼,80
臣,80
奈,80
尻,79
樹,78
吠,78
執,78
矢,78
辱,77
陥,77
拝,77
韓,77
鬼,77
挑,76
懐,76
獄,76
妊,76
巣,76
維,75
督,75
侮,75
豪,75
幅,74
随,74
縁,74
帳,74
却,74
松,74
伴,74
顧,73
虚,73
畑,73
宮,73
需,72
刈,72
牧,72
譲,72
泉,72
卓,72
渇,72
涯,71
拡,71
露,71
拍,71
貫,70
称,70
鋭,70
揚,70
縄,70
慌,69
洪,69
棄,69
潜,68
謎,68
貼,68
穏,68
浪,68
童,68
佐,68
恩,67
融,67
掲,67
胆,67
沸,67
往,67
伏,67
蛇,67
缶,66
蹴,66
膝,66
溶,66
猛,65
餌,65
蓄,65
蜂,65
励,65
儲,65
稿,65
溺,64
縫,64
甲,64
稲,64
陣,64
曇,64
頬,64
枝,64
跳,64
煮,64
寧,64
脇,63
烈,63
塔,63
衰,63
墓,63
浅,63
秒,62
裸,62
軒,62
蝶,62
拭,62
粗,61
副,61
獣,61
揮,61
唱,61
里,61
脈,61
是,60
灰,60
巡,60
償,60
皇,60
隔,60
妥,59
促,59
誓,59
臆,59
敏,59
刀,59
崎,59
囚,59
綿,58
騰,58
娠,58
偏,58
摂,58
騙,58
褒,58
痴,58
徐,58
排,57
頻,57
絞,57
粧,57
浸,57
袖,57
潮,56
閣,56
縛,56
哲,56
唇,56
磁,56
妨,55
刷,55
憂,55
惚,55
央,55
奨,54
旨,54
枯,54
鈴,54
咳,54
哀,53
妬,53
刊,53
穫,53
彫,53
賭,53
幹,53
沖,53
筒,53
桃,53
痩,53
籍,52
肺,52
析,52
柱,52
塀,52
旦,52
竹,52
扉,52
昆,51
栽,51
培,51
惰,51
盤,51
惨,51
欺,51
鍋,51
漁,50
魂,50
憲,50
癌,50
殿,50
葬,50
薦,50
縦,50
江,50
網,49
堅,49
隷,49
岡,49
肝,49
雰,49
幕,49
叶,49
嫁,49
欧,49
銘,48
肥,48
緩,48
洞,48
堪,48
遇,48
蚊,48
津,48
猿,47
糧,47
鎖,47
鑑,47
那,47
臨,47
寸,46
凡,46
序,46
賄,46
捧,46
克,46
隅,46
暢,46
搭,46
戚,45
債,45
爪,45
如,45
坂,45
汁,45
詐,45
狩,45
笛,44
諾,44
鬱,44
羨,44
郊,44
貢,44
鎮,43
狙,43
漠,43
疎,43
憧,43
凄,43
湾,43
檎,43
垂,43
厄,43
婆,43
竜,43
斜,42
卑,42
宛,42
貰,42
漂,42
斎,42
錠,42
箸,42
泡,42
鼓,42
穀,41
偵,41
虐,41
惜,41
頓,40
帝,40
戒,40
撲,40
蜜,40
苛,40
窮,40
垣,39
砲,39
珠,39
粋,39
巧,39
慰,39
枕,39
尿,39
紫,39
墜,39
狼,39
炊,39
猟,39
伊,39
慈,39
餓,38
繊,38
莫,38
菌,38
揃,38
祉,38
幻,38
擦,38
寛,38
吉,37
函,37
嫉,37
鯨,37
簿,37
謀,37
虎,37
盆,37
噴,37
嗅,37
礎,37
愉,37
賀,36
鈍,36
塞,36
鉱,36
廊,36
贅,36
壇,36
盲,36
剥,36
畳,36
僧,35
芽,35
彩,35
稚,35
膨,35
芋,35
漬,35
詫,35
苗,35
苺,35
飴,35
醜,34
帆,34
酬,34
炉,34
癒,34
凝,34
紐,34
沙,34
俗,33
兆,33
馴,33
燥,33
繋,33
寮,33
鐘,33
翼,33
旬,32
崇,32
賊,32
透,32
剃,32
姓,32
零,32
虹,32
併,32
砕,31
瀬,31
陳,31
又,31
兼,31
架,31
挟,31
膚,31
捻,31
撤,31
圏,31
狐,31
伯,31
姫,31
粒,31
脂,31
訂,31
昧,31
軌,31
邦,30
碑,30
茂,30
掴,30
弓,30
幣,30
潰,30
拳,30
蜘,30
蛛,30
哺,30
廷,30
剰,29
粘,29
貌,29
倉,29
宴,29
傍,29
傑,29
腸,29
賂,29
餅,29
棋,29
眉,29
乞,29
汰,29
鶴,29
盟,28
妖,28
顕,28
還,28
霜,28
斐,28
淡,28
阻,28
惹,28
殻,28
斉,28
鍛,28
紋,28
征,28
絹,28
弊,27
奉,27
傲,27
栓,27
薔,27
薇,27
杖,27
懲,27
覗,27
釘,27
崖,27
澄,27
髭,27
括,26
窟,26
径,26
謙,26
浄,26
銅,26
梨,26
荘,26
塁,26
姪,26
呆,26
罠,26
赦,26
肢,26
溜,26
盾,25
擁,25
鋼,25
些,25
欄,25
腫,25
麺,25
仙,25
雀,25
滴,25
胞,25
沼,25
軟,25
託,24
繕,24
綴,24
煩,24
雅,24
鼠,24
挫,24
享,24
扇,24
股,24
炒,24
溢,24
曖,24
伎,24
拓,23
疫,23
陶,23
掻,23
矛,23
倫,23
抽,23
鉢,23
峡,23
兎,23
芯,23
酌,23
梯,23
訊,23
禅,23
恒,23
貝,23
逸,23
胡,22
塊,22
